ID,Question,GT_Answer,SKnowGPT_gpt3,Mindmap,gpt3,Only_KG
80,what is the purpose or desired effect of aspirin,"Prescription aspirin is used to relieve the symptoms of rheumatoid arthritis (arthritis caused by swelling of the lining of the joints), osteoarthritis (arthritis caused by breakdown of the lining of the joints), systemic lupus erythematosus (condition in which the immune system attacks the joints and organs and causes pain and swelling) and certain other rheumatologic conditions (conditions in which the immune system attacks parts of the body). Nonprescription aspirin is used to reduce fever and to relieve mild to moderate pain from headaches, menstrual periods, arthritis, colds, toothaches, and muscle aches. Nonprescription aspirin is also used to prevent heart attacks in people who have had a heart attack in the past or who have angina (chest pain that occurs when the heart does not get enough oxygen). Nonprescription aspirin is also used to reduce the risk of death in people who are experiencing or who have recently experienced a heart attack. Nonprescription aspirin is also used to prevent ischemic strokes (strokes that occur when a blood clot blocks the flow of blood to the brain) or mini-strokes (strokes that occur when the flow of blood to the brain is blocked for a short time) in people who have had this type of stroke or mini-stroke in the past. Aspirin will not prevent hemorrhagic strokes (strokes caused by bleeding in the brain). Aspirin is in a group of medications called salicylates. It works by stopping the production of certain natural substances that cause fever, pain, swelling, and blood clots.","The purpose or desired effect of aspirin is to relieve mild to moderate pain, reduce fever, prevent heart attacks and ischemic strokes, and sometimes prevent certain complications of pregnancy. Aspirin works by stopping the production of natural substances that cause fever, pain, swelling, and blood clots. It should not be taken with ibuprofen and may require discontinuation if severe side effects occur. Aspirin should be kept out of reach of children.","Based on the patient's question about the purpose of aspirin, it seems they are seeking information about its effects. Aspirin is commonly used to reduce fever, relieve pain, reduce inflammation, and prevent blood clots. It is also used in lower doses to reduce the risk of heart attack and stroke. 

","Aspirin is commonly used for its anti-inflammatory, analgesic (pain-relieving), and antipyretic (fever-reducing) properties. It is often used to relieve minor aches and pains, reduce inflammation, and lower fever. Additionally, aspirin is also used as a blood thinner to help prevent blood clots and reduce the risk of heart attack and stroke in certain individuals. It is important to follow the recommended dosage and consult with a healthcare provider before starting any new medication.","['Aspirin  has mechanism  stops production of substances that cause fever pain swelling and blood clots', 'Aspirin  has serious side effect  rash  hives  hoarseness  swelling of eyes face lips tongue or throat  wheezing or difficulty breathing  fast heartbeat  fast breathing  cold clammy skin  ringing in the ears  loss of hearing  bloody vomit  vomit that looks like coffee grounds  bright red blood in stools  black or tarry stools', 'Aspirin  possible cure disease  mild to moderate pain from toothaches  angina  fever  rheumatoid arthritis  osteoarthritis  systemic lupus erythematosus  heart attacks  ischemic strokes  mini strokes  mild to moderate pain from headaches  mild to moderate pain from muscle aches  mild to moderate pain from menstrual periods', 'Aspirin  has usage  taken by mouth  taken two or more times a day (prescription)  taken once a day to lower risk of heart attack or stroke (nonprescription)  taken every 4 to 6 hours as needed for fever or pain (nonprescription)', 'Aspirin  has side effect  nausea  vomiting  stomach pain  heartburn', 'Aspirin  has instruction  follow directions on package or prescription label  take exactly as directed  do not take double dose for missed dose  skip missed dose if almost time for next dose', 'Aspirin  belongs to class  salicylates', 'Aspirin  has information  available in combination with other medications  brand names include Acuprin Anacin Bayer Aspirin Ecotrin  other names include Acetylsalicylic acid ASA', ""Aspirin  has caution  may cause Reye's syndrome in children and teenagers"", 'Aspirin  has warning  do not take doses greater than 81 mg around or after 20 weeks of pregnancy']"
81,topiramate?,Topiramate is used alone or with other medications to treat certain types of seizures including primary generalized tonic-clonic seizures (formerly known as a grand mal seizure; seizure that involves the entire body) and partial onset seizures (seizures that involve only one part of the brain). Topiramate is also used with other medications to control seizures in people who have Lennox-Gastaut syndrome (a disorder that causes seizures and developmental delays). Topiramate is also used to prevent migraine headaches but not to relieve the pain of migraine headaches when they occur. Topiramate is in a class of medications called anticonvulsants. It works by decreasing abnormal excitement in the brain.,"Topiramate is a medication used to prevent migraine headaches. It should be taken once or twice a day at the same time every day. It works by decreasing abnormal excitement in the brain. Topiramate should not be taken with alcohol and should be stored at room temperature away from excess heat and moisture. It should not be stopped abruptly without consulting a doctor and may require discontinuation if severe side effects occur. It should be disposed of through a medicine take back program. Topiramate should not be taken if allergic to it, if there is a history of kidney stones, or during pregnancy without consulting a doctor.","Based on the symptoms described, the patient may have migraines. To confirm the diagnosis, the patient should undergo a physical examination and possibly a neurological exam. Recommended medications for migraines include topiramate, which is commonly used as a preventive medication for migraines. It is important to follow the dosage instructions provided by the healthcare provider.

","Topiramate is a medication that is commonly used to treat seizures in patients with epilepsy. It is also used to prevent migraine headaches. It works by decreasing abnormal excitement in the brain.

It is important to take topiramate exactly as prescribed by your doctor. Common side effects of topiramate include dizziness, drowsiness, and difficulty concentrating. It is important to avoid driving or operating heavy machinery until you know how this medication affects you.

If you have any concerns or questions about taking topiramate, it is best to speak with your healthcare provider. They can provide you with personalized advice based on your medical history and current health status.","['Topiramate  has brand name  Eprontia  Qudexy XR  Topamax  Trokendi XR', 'Topiramate  has mechanism  decreases abnormal excitement in the brain', 'Topiramate  has form  tablet  solution  extended release capsule  sprinkle capsule', 'Topiramate  has emergency instruction  call poison control for overdose  call emergency services for severe symptoms', 'Topiramate  has storage instruction  keep out of reach of children  store at room temperature  do not flush down toilet  keep in original container  dispose of unused solution after 60 days', 'Topiramate  has information  keep all appointments with doctor  may be used for alcohol dependence  may be used for binge eating disorder  may be used for essential tremors  bring list of medications to doctor', 'Topiramate  possible cure disease  migraine headaches  partial onset seizures  primary generalized tonic clonic seizures  Lennox Gastaut syndrome', 'Topiramate  has side effect  rash  shortness of breath  uncontrollable shaking  nervousness  headache  nausea  vomiting  muscle pain  chest pain  constipation  loss of appetite  blurred vision  excessive tiredness  stomach pain  drowsiness  diarrhea  fever  confusion  weakness  dry mouth  weight loss  difficulty urinating  leg pain  memory problems  eye pain  back pain  unusual bleeding  loss of coordination  double vision  numbness  nosebleed  burning or tingling in hands or feet  slowed reactions  uncontrollable eye movements  change in ability to taste food  bone pain  missed menstrual periods  excessive menstrual bleeding  loss of vision  eye redness  worsening of seizures  pounding or irregular heartbeat  intense back pain  bruising', 'Topiramate  has usage  taken by mouth  taken once or twice a day  taken once a day for extended release capsules', 'Topiramate  has warning  will not cure condition']"
82,levodopa carbidopa what will these drugs do to me if i take alcohol,Alcohol can make the side effects from levodopa and carbidopa worse.,"Taking alcohol with levodopa and carbidopa can increase the risk of side effects such as dizziness, drowsiness, and impaired coordination. Alcohol may also decrease the effectiveness of levodopa in treating your condition. It is important to consult with your healthcare provider before combining these medications with alcohol.","Based on the symptoms described, the patient may have Parkinson's disease. Levodopa-carbidopa is a common medication used to treat Parkinson's disease by increasing dopamine levels in the brain. If the patient takes alcohol while on levodopa-carbidopa, it may increase the side effects of dizziness, drowsiness, and impaired coordination. To confirm the diagnosis, the patient should undergo a neurological examination and possibly imaging tests like MRI or CT scans. It is important to consult with a healthcare provider before combining levodopa-carbidopa with alcohol.

","Levodopa and carbidopa are commonly used together to treat symptoms of Parkinson's disease. When taken with alcohol, these medications can increase the risk of side effects such as dizziness, drowsiness, and impaired coordination. Alcohol can also worsen the side effects of levodopa, such as nausea and vomiting.

It is important to talk to your healthcare provider before consuming alcohol while taking levodopa and carbidopa, as they can provide personalized advice based on your individual health status and medication regimen. In general, it is recommended to limit or avoid alcohol consumption while taking these medications to minimize the risk of adverse effects.","['Carbidopa  has mechanism  prevents levodopa from being broken down before reaching the brain', 'Levodopa  has mechanism  converted to dopamine in the brain']"
83,how long should wait to take another medicine after i take azithromycin,"if you are taking antacids containing aluminum hydroxide or magnesium hydroxide (Maalox, Mylanta, Tums, others), you will need to allow some time to pass between when you take a dose of these antacids and when you take a dose of azithromycin tablets or liquid. Ask your doctor or pharmacist how many hours before or after you take azithromycin you may take these medications. The extended-release suspension may be taken at any time with antacids.","After taking Azithromycin, you should wait for the specified duration as directed by your healthcare provider before taking another medicine. It is important to follow the specific dosage and instructions provided for Azithromycin to ensure its effectiveness in treating bacterial infections.","Based on the symptoms described, the patient may have a bacterial infection that requires treatment with azithromycin. To confirm the diagnosis, the patient should undergo a bacterial culture test to identify the specific bacteria causing the infection. The recommended medication is azithromycin, which should be taken exactly as directed by the doctor. It is important to complete the full course of medication even if symptoms improve before the prescription is finished.

","It is generally recommended to wait at least 2 hours before taking another medication after taking azithromycin. This is to allow the azithromycin to be absorbed properly and to avoid any potential interactions with other medications. However, it is always best to consult with your healthcare provider or pharmacist for specific instructions based on your individual medical history and the medications you are taking.","['Azithromycin  has instruction  take exactly as directed  follow directions on prescription label  take until prescription is finished  shake liquid well before each use  use a dosing spoon or oral syringe to measure medication  mix powder with water before taking  use extended release suspension within 12 hours after preparation  call doctor if vomiting occurs within an hour after taking', 'Azithromycin  has storage instruction  dispose of unneeded medications properly  store at room temperature  discard unused suspension after 10 days  do not refrigerate or freeze extended release suspension', 'Azithromycin  has usage  taken by mouth  taken once a day for 1 5 days  taken once weekly for prevention of MAC infection  taken on an empty stomach as a one time dose', 'Azithromycin  has caution  inform doctor of other medications being taken  inform doctor if pregnant or breastfeeding  skipping doses may lead to antibiotic resistance  tell doctor if allergic to azithromycin or other antibiotics  allow time between antacids and azithromycin  not for patients with liver problems  not for patients with prolonged QT interval', 'Azithromycin  has form  tablet  suspension  extended release suspension', 'Azithromycin  has warning  do not stop taking unless severe side effects occur', 'Azithromycin  has emergency instruction  call poison control in case of overdose', 'Azithromycin  belongs to class  macrolide antibiotics', 'Azithromycin  has severe side effect  difficulty breathing  fainting  yellowing of skin or eyes  dizziness  fast or irregular heartbeat  rash with fever  blisters or peeling skin  severe diarrhea  unusual bleeding or bruising  extreme tiredness', 'Azithromycin  has brand name  Zithromax  Zithromax Single Dose Packets  Zithromax Tri Paks  Zithromax Z Paks  Zmax']"
84,what time of day to take aripiprazole,"Aripiprazole comes as a tablet, a solution (liquid), and an orally disintegrating tablet (tablet that dissolves quickly in the mouth) to take by mouth. It is usually taken once a day with or without food. Take aripiprazole at around the same time every day.",Aripiprazole can be taken at any time of the day.,"Based on the patient's question about when to take aripiprazole, it seems they may be prescribed this medication. Aripiprazole is used to treat certain mental/mood disorders such as bipolar disorder, schizophrenia, and irritability associated with autistic disorder. It is typically taken once a day, at around the same time every day. To confirm the diagnosis and ensure the correct dosage and timing, the patient should consult their doctor. It is important to follow the doctor's instructions and not adjust the dosage or timing without medical advice.

","Aripiprazole is typically taken once daily, either in the morning or in the evening. It is important to take it at the same time each day to maintain a consistent level of the medication in your body. However, it is best to follow the specific instructions provided by your healthcare provider or pharmacist. If you have any concerns or questions about the timing of your medication, please consult with your healthcare provider for personalized advice.","['Aripiprazole  has instruction  take exactly as directed  take missed dose as soon as remembered  do not take double dose for missed dose  follow directions on prescription label  keep all appointments with doctor  take at around the same time every day  do not divide crush or chew tablets', 'Aripiprazole  has usage  taken by mouth  taken once a day', 'Aripiprazole  has special precaution  monitor for side effects  inform doctor if pregnant or breastfeeding  keep a list of all medications taken  inform doctor if allergic  inform doctor of all medications taken  avoid extreme heat during exercise  consult doctor if experiencing severe side effects', 'Aripiprazole  has caution  may cause drowsiness  do not drink alcohol while taking', 'Aripiprazole  has warning  increased chance of death in older adults with dementia  not approved for behavior problems in dementia  increased risk of suicidal thoughts in young adults', 'Aripiprazole  belongs to class  atypical antipsychotics', 'Aripiprazole  has disposal instruction  do not flush down toilet  use medicine take back program', 'Aripiprazole  has storage instruction  keep out of reach of children  store at room temperature', 'Aripiprazole  has mechanism  changes activity of natural substances in the brain', 'Aripiprazole  has risk  may cause hyperglycemia  may cause gambling problems  may cause intense urges or behaviors']"
85,what are some side effects nicoderm,"Nicotine skin patches may cause side effects. Tell your doctor if any of these symptoms are severe or do not go away:

dizziness
headache
nausea
vomiting
diarrhea
redness or swelling at the patch site
If you experience any of the following symptoms, call your doctor immediately:

severe rash or swelling
seizures
abnormal heartbeat or rhythm
difficulty breathing","Some side effects of Nicoderm (Nicotine Transdermal Patch) may include headache, nausea, vomiting, dizziness, diarrhea, redness or swelling at the patch site, hives, dryness, itching, swelling, lightheadedness, cough, burning, stinging, irritation, pain, sore throat.","Based on the symptoms described, the patient may be experiencing side effects from using the Nicotine Transdermal Patch, such as headache, nausea, vomiting, diarrhea, dizziness, and redness or swelling at the patch site. To confirm the diagnosis, the patient should consult with a healthcare provider. Recommended medications to alleviate these side effects may include over-the-counter pain relievers for headaches, anti-nausea medications for nausea and vomiting, and topical creams for redness or swelling at the patch site.

","Nicoderm, which is a nicotine patch used for smoking cessation, may cause some side effects. These can include skin irritation or redness at the patch application site, dizziness, headache, nausea, vomiting, trouble sleeping, and changes in taste. It is important to follow the instructions provided with the Nicoderm patch and speak with your healthcare provider if you experience any concerning side effects.",[]
86,"can a patient stop using enalapril if the condition ""stabilize?""",Enalapril controls high blood pressure and heart failure but does not cure them. Continue to take enalapril even if you feel well. Do not stop taking enalapril without talking to your doctor.,"No, a patient should not stop using enalapril even if the condition ""stabilizes."" Enalapril is prescribed for high blood pressure and heart failure, and it is important to continue taking it as directed by the doctor. If the medication is not effective in controlling symptoms, the doctor may consider adjusting the dosage or exploring alternative treatments.","Based on the symptoms described, the patient may have hypertension, which is a condition characterized by high blood pressure. To confirm the diagnosis, the patient should undergo a blood pressure measurement test. Recommended medications for hypertension include enalapril, which decreases certain chemicals that tighten blood vessels. It is important to follow the instructions for taking enalapril as directed by the doctor and not to stop without consulting a healthcare professional.

","It is important to consult with your healthcare provider before making any changes to your medication regimen. Enalapril is commonly used to treat high blood pressure and heart failure, and stopping it suddenly can lead to a worsening of these conditions. Your healthcare provider will be able to assess your individual situation and determine if it is safe for you to stop using enalapril. It is always best to follow their guidance to ensure your health and safety.","['Enalapril  has warning  do not take if pregnant  do not take with valsartan and sacubitril  do not take with aliskiren if diabetic', 'Enalapril  has instruction  take exactly as directed  take missed dose as soon as remembered  skip missed dose if close to next dose  do not take double dose for missed dose  follow directions on prescription label  do not stop without talking to doctor  take around the same time(s) every day', 'Enalapril  has caution  may harm the fetus if taken during pregnancy  discuss all medications with doctor before starting  avoid certain medications like NSAIDs without consulting doctor', 'Enalapril  possible cure disease  high blood pressure  heart failure  kidney disease related to diabetes', 'Enalapril  has emergency instruction  call poison control for overdose  call emergency services for severe symptoms', 'Enalapril  has information  do not let anyone else take your medication  keep a list of all medications taken  keep all appointments with doctor and laboratory  blood pressure should be checked regularly  controls high blood pressure and heart failure but does not cure them  lifestyle changes can help control blood pressure', 'Enalapril  has serious side effect  swelling of face throat tongue lips eyes hands feet ankles or lower legs  hoarseness  difficulty breathing or swallowing  lightheadedness  fainting  yellowing of skin or eyes  fever sore throat chills and other signs of infection', 'Enalapril  belongs to class  angiotensin converting enzyme (ACE) inhibitors', 'Enalapril  has usage  taken by mouth  taken once or twice a day', 'Enalapril  has disposal instruction  do not flush down toilet  use medicine take back program for disposal']"
87,rosuvastatin calcium what are the side effects,"Rosuvastatin may cause side effects. Tell your doctor if any of these symptoms are severe or do not go away:

constipation
stomach pain
dizziness
difficulty falling asleep or staying asleep
depression
joint pain
headache
memory loss or forgetfulness
confusion
Some side effects can be serious. If you experience any of the following symptoms, call your doctor immediately or get emergency medical help:

:

muscle pain, tenderness, or weakness
lack of energy
fever
chest pain
yellowing of the skin or eyes
dark colored urine
pain in the upper right part of the abdomen
nausea
extreme tiredness
weakness
unusual bleeding or bruising
loss of appetite
flu-like symptoms
rash
hives
itching
difficulty breathing or swallowing
swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs
hoarseness
Rosuvastatin may cause other side effects. Call your doctor if you have any unusual problems while taking this medication.","Side effects of rosuvastatin may include headache, nausea, dizziness, lightheadedness, and cough. These side effects may require discontinuation of the medication or adjustment of dosage.","Based on the patient's inquiry about the side effects of rosuvastatin calcium, it seems they may be taking this medication. The common side effects of rosuvastatin calcium include muscle pain, weakness, and liver problems. It is important to consult a doctor if any of these side effects occur. 

","Rosuvastatin calcium, also known as Crestor, is a medication commonly used to lower cholesterol levels in the blood. Like all medications, it can have side effects. Some common side effects of rosuvastatin calcium include headache, muscle aches, stomach pain, constipation, and nausea. In rare cases, more serious side effects such as liver problems, muscle breakdown, and allergic reactions can occur. It is important to speak with your healthcare provider if you experience any side effects while taking rosuvastatin calcium. They can help determine if the medication is right for you or if an alternative treatment may be more suitable.",[]
88,what are iron injections,Iron sucrose injection is used treat iron-deficiency anemia (a lower than normal number of red blood cells due to too little iron) in people with chronic kidney disease (damage to the kidneys which may worsen over time and may cause the kidneys to stop working). Iron sucrose injection is in a class of medications called iron replacement products. It works by replenishing iron stores so that the body can make more red blood cells.,"Iron Sucrose Injection is a type of iron replacement product that is prescribed for iron deficiency anemia. It is administered intravenously and works by replenishing iron stores. Patients with chronic kidney disease may receive Iron Sucrose Injection. It should be injected over 2 to 5 minutes or 15 minutes to 4 hours, and monitoring for side effects during administration is necessary. If a patient has allergies to other iron injections, they should inform their doctor before receiving Iron Sucrose Injection. If iron levels become low after treatment, the doctor may prescribe Iron Sucrose Injection again. Iron Sucrose Injection may cause severe reactions.","Based on the symptoms described, the patient may have iron deficiency anemia. To confirm the diagnosis, the patient should undergo blood tests such as a complete blood count (CBC) and iron studies. Recommended medications for iron deficiency anemia include iron supplements such as Iron Sucrose Injection, which replenishes iron stores.

","Iron injections are a form of treatment for iron deficiency anemia. They are administered by a healthcare provider and involve injecting iron directly into the bloodstream. This method is often used when oral iron supplements are not effective or tolerated by the patient. Iron injections can help increase the levels of iron in the body, which is essential for the production of red blood cells and overall health. It is important to follow your healthcare provider's recommendations and monitor your iron levels regularly when receiving iron injections.",[]
89,when taking plavix and xarelto blood thinners is it safe to take dilaudid for pain,"Tell your doctor and pharmacist if you are taking anagrelide (Agrylin); aspirin and other nonsteroidal anti-inflammatory drugs (NSAIDs) such as ibuprofen (Advil, Motrin, others), indomethacin (Indocin, Tivorbex), ketoprofen, and naproxen (Aleve, Anaprox, others); cilostazol (Pletal); clopidogrel (Plavix); dipyridamole (Persantine); eptifibatide (Integrilin); heparin; prasugrel (Effient); ticagrelor (Brilinta); ticlopidine; tirofiban (Aggrastat), and warfarin (Coumadin, Jantoven). If you experience any of the following symptoms, call your doctor immediately: back pain, muscle weakness, numbness or tingling (especially in your legs), loss of control of your bowels or bladder, or inability to move your legs.","Based on the provided medical knowledge information, there is no specific data available regarding the safety of taking Dilaudid (hydromorphone) for pain while on a combination of Plavix (clopidogrel) and Xarelto (rivaroxaban) blood thinners. It is recommended to consult with a healthcare professional before combining these medications to ensure safety and effectiveness.","Based on the symptoms described, the patient may have a risk of excessive bleeding due to the combination of Plavix and Xarelto blood thinners along with Dilaudid for pain. To confirm the diagnosis, the patient should undergo a thorough evaluation of their medical history, current medications, and potential risk factors for bleeding. It is crucial to consult with a healthcare provider before taking Dilaudid with blood thinners to ensure safety and minimize the risk of complications.

","It is generally safe to take Dilaudid (hydromorphone) for pain while taking Plavix (clopidogrel) and Xarelto (rivaroxaban). However, it is important to consult with your healthcare provider before starting any new medication, especially if you are already taking blood thinners. They can provide personalized advice based on your medical history and current medications to ensure there are no potential interactions or risks.",[]
90,symptoms from taking multiple doses of lasix 40 mg per dayproblems with taking lasix 40mg twice daily ?,"Furosemide is a strong diuretic ('water pill') and may cause dehydration and electrolyte imbalance. It is important that you take it exactly as told by your doctor. If you experience any of the following symptoms, call your doctor immediately: decreased urination; dry mouth; thirst; nausea; vomiting; weakness; drowsiness; confusion; muscle pain or cramps; or rapid or pounding heartbeats.","Taking multiple doses of Lasix 40mg per day may increase the risk of dehydration, electrolyte imbalance, dizziness, and lightheadedness when standing up quickly. It is important to follow the prescribed dosing regimen of once or twice a day. Lasix works by causing the kidneys to eliminate water and salt, and it is prescribed for high blood pressure and edema. Lasix does not cure these conditions but helps control them. Lasix may interact with NSAIDs and aspirin. If you experience any concerning symptoms, please consult your healthcare provider.","Based on the symptoms described, the patient may be experiencing electrolyte imbalances or dehydration due to taking multiple doses of Lasix 40mg per day. To confirm the diagnosis, the patient should undergo blood tests to check electrolyte levels, kidney function, and hydration status. Recommended medications to address these issues may include potassium supplements to prevent hypokalemia (low potassium levels) caused by Lasix, as well as intravenous fluids if dehydration is present.

","Taking multiple doses of Lasix (furosemide) 40 mg per day can lead to an increased risk of side effects. Some common side effects of Lasix include dehydration, electrolyte imbalances (such as low potassium levels), dizziness, headache, and muscle cramps. 

Taking Lasix twice daily may also increase the risk of developing these side effects. It is important to monitor your symptoms closely and report any new or worsening side effects to your healthcare provider. 

If you are experiencing any concerning symptoms or side effects from taking Lasix, it is important to speak with your healthcare provider as soon as possible. They may need to adjust your dosage or switch you to a different medication. It is important to follow your healthcare provider's instructions and not make any changes to your medication regimen without consulting them first.","['Furosemide  has symptom  nausea  vomiting  drowsiness  confusion  weakness  dry mouth  decreased urination  thirst  muscle pain or cramps  rapid or pounding heartbeats  symptoms of overdose include extreme thirst dry mouth dizziness confusion extreme tiredness vomiting stomach cramps', 'Furosemide  has side effect  rash  hives  itching  difficulty breathing or swallowing  headache  constipation  blurred vision  diarrhea  fever  ringing in the ears  loss of hearing  blisters or peeling skin  frequent urination  yellowing of the skin or eyes', 'Furosemide  has instruction  take exactly as directed  take missed dose as soon as remembered  do not take double dose for missed dose  follow directions on prescription label  do not stop taking without talking to doctor  keep all appointments with doctor and laboratory  blood pressure should be checked regularly  inform doctor about other medications being taken  tell doctor if allergic to furosemide or sulfonamide medications  take sucralfate 2 hours before or after furosemide  do not breast feed while taking this medication  inform doctor if pregnant or planning to become pregnant  inform laboratory personnel about taking furosemide before tests  in case of overdose call poison control or emergency services', 'Furosemide  has caution  avoid prolonged exposure to sunlight  may cause dizziness lightheadedness and fainting', 'Furosemide  has warning  may cause dehydration and electrolyte imbalance', 'Furosemide  has usage  taken by mouth  taken once or twice a day  taken daily or on certain days for edema  taken around the same time(s) every day for hypertension', 'Furosemide  has information  keep out of reach of children  may be prescribed for other uses  keep a list of all medications taken  do not flush down the toilet  store at room temperature away from excess heat and moisture  dispose of unused solution after 90 days', 'Furosemide  has mechanism  causes kidneys to get rid of unneeded water and salt', 'Furosemide  belongs to class  diuretics', 'Furosemide  has interaction  may interact with aspirin and NSAIDs  may not be suitable for patients with kidney disease  caution in patients with bladder emptying issues  caution in patients with diabetes gout SLE or liver disease']"
91,how is tocilizumab administered,"Tocilizumab injection comes as a solution (liquid) to be injected intravenously (into a vein) in your arm by a doctor or nurse in a medical office or hospital outpatient clinic or as a prefilled syringe to inject subcutaneously (under the skin) by yourself at home. When tocilizumab is given intravenously to treat rheumatoid arthritis or polyarticular juvenile idiopathic arthritis, it is usually given once every 4 weeks. When tocilizumab is given intravenously to treat systemic juvenile idiopathic arthritis, it is usually given once every 2 weeks. When tocilizumab is given intravenously to treat cytokine release syndrome, it is usually given once, but up to 3 additional doses may be given at least 8 hours apart. It will take about 1 hour for you to receive your dose of tocilizumab injection intravenously. When tocilizumab is given subcutaneously to treat rheumatoid arthritis or giant cell arteritis, it is usually given once weekly or once every other week.

You will receive your first subcutaneous dose of tocilizumab injection in your doctor's office. If you will be injecting tocilizumab injection subcutaneously by yourself at home or having a friend or relative inject the medication for you, your doctor will show you or the person who will be injecting the medication how to inject it. You and the person who will be injecting the medication should also read the written instructions for use that come with the medication.

Thirty minutes before you are ready to inject tocilizumab injection, you will need to remove the medication from the refrigerator, take it out of its carton, and allow it to reach room temperature. When removing a prefilled syringe from the box, be careful not to touch the trigger fingers on the syringe. Do not try to warm the medication by heating it in a microwave, placing it in warm water, or through any other method.

Do not remove the cap from the prefilled syringe while the medication is warming. You should remove the cap no more than 5 minutes before you inject the medication. Do not replace the cap after you remove it. Do not use the syringe if you drop it on the floor.

Check the prefilled syringe to be sure that the expiration date printed on the package has not passed, Holding the syringe with the covered needle pointing down, look closely at the liquid in the syringe. The liquid should be clear or pale yellow and should not be cloudy or discolored or contain lumps or particles. Call your pharmacist if there are any problems with the package or the syringe and do not inject the medication.

You may inject tocilizumab injection on the front of the thighs or anywhere on your stomach except your navel (belly button) and the area 2 inches around it. If another person is injecting your medication, the outer area of the upper arms also may be used. Do not inject the medication into skin that is tender, bruised, red, hard, or not intact, or that has scars, moles, or bruises. Choose a different spot each time you inject the medication, at least 1 inch away from a spot that you have used before. If the full dose is not injected, call your doctor or pharmacist.

Do not reuse tocilizumab prefilled syringes and do not recap the syringes after use. Discard any used syringes in a puncture-resistant container and ask your pharmacist how to throw away the container.",Tocilizumab Injection is administered either Intravenously or Subcutaneously.,"Based on the symptoms described, the patient may have a condition that requires treatment with Tocilizumab Injection. To confirm the diagnosis, the patient should undergo further testing to determine the specific condition that Tocilizumab is indicated for. The recommended medication for Tocilizumab Injection is to be administered either subcutaneously, intravenously, or as instructed by a healthcare professional.

",Tocilizumab is typically administered as an injection or infusion. The injection can be given subcutaneously (under the skin) or intravenously (into a vein). The infusion is usually given in a healthcare setting by a healthcare professional. It is important to follow your healthcare provider's instructions on how to administer tocilizumab properly.,[]
